customer_id,total_orders,avg_order_value,total_spending,ordering_frequency,avg_rating_given,weekend_orders,late_night_orders,cluster,customer_segment,dbscan_cluster
C000001,15,963.098,14446.47,1.5,3.5,3,2,2,Frequent High-Value Customers,0
C000002,7,727.9314285714285,5095.5199999999995,1.4,3.0,1,2,0,Budget Occasional Customers,0
C000003,7,622.8157142857143,4359.71,1.1666666666666667,3.0,3,0,0,Budget Occasional Customers,0
C000004,13,942.8138461538462,12256.58,1.1818181818181819,3.25,5,1,2,Frequent High-Value Customers,0
C000005,7,662.2785714285714,4635.95,1.1666666666666667,3.4,2,2,0,Budget Occasional Customers,0
C000006,9,712.2355555555555,6410.12,1.5,2.8333333333333335,4,3,2,Frequent High-Value Customers,0
C000007,8,959.8725,7678.98,1.0,2.5714285714285716,2,1,1,Premium Basket Customers,0
C000008,3,1053.93,3161.79,1.0,2.0,0,0,1,Premium Basket Customers,0
C000009,7,758.1985714285714,5307.39,1.75,3.0,2,0,0,Budget Occasional Customers,0
C000010,7,1032.4014285714286,7226.81,1.4,3.0,4,2,1,Premium Basket Customers,0
C000011,16,645.849375,10333.59,1.6,3.5555555555555554,5,0,2,Frequent High-Value Customers,0
C000012,15,716.6486666666666,10749.73,1.5,3.090909090909091,4,2,2,Frequent High-Value Customers,0
C000013,16,842.04875,13472.78,1.3333333333333333,3.111111111111111,5,3,2,Frequent High-Value Customers,0
C000014,2,658.5550000000001,1317.1100000000001,1.0,5.0,1,1,0,Budget Occasional Customers,0
C000015,10,971.4860000000001,9714.86,1.25,2.75,3,1,1,Premium Basket Customers,0
C000016,15,711.516,10672.74,1.3636363636363635,3.6666666666666665,4,4,2,Frequent High-Value Customers,0
C000017,5,1034.7559999999999,5173.78,1.0,3.3333333333333335,2,1,1,Premium Basket Customers,0
C000018,16,688.42,11014.72,1.7777777777777777,4.0,5,2,2,Frequent High-Value Customers,0
C000019,5,886.494,4432.47,1.0,3.5,1,0,1,Premium Basket Customers,0
C000020,13,1007.1738461538462,13093.26,1.4444444444444444,3.5714285714285716,4,2,2,Frequent High-Value Customers,0
C000021,6,899.4333333333334,5396.6,1.5,3.3333333333333335,5,1,1,Premium Basket Customers,0
C000022,7,501.87,3513.09,1.0,3.25,2,2,0,Budget Occasional Customers,0
C000023,6,944.6283333333334,5667.77,1.2,2.3333333333333335,4,1,1,Premium Basket Customers,0
C000024,7,1012.7671428571429,7089.37,1.4,4.2,5,1,1,Premium Basket Customers,0
C000025,9,956.1511111111112,8605.36,1.2857142857142858,4.0,2,1,1,Premium Basket Customers,0
C000026,9,765.598888888889,6890.39,1.125,4.25,3,1,0,Budget Occasional Customers,0
C000027,7,789.6428571428571,5527.5,1.75,4.25,2,2,2,Frequent High-Value Customers,0
C000028,3,1138.7933333333333,3416.38,1.0,3.5,1,0,1,Premium Basket Customers,0
C000029,2,1182.84,2365.68,1.0,3.4196588952056444,0,1,1,Premium Basket Customers,0
C000030,6,745.3983333333332,4472.389999999999,1.0,4.5,1,3,0,Budget Occasional Customers,0
C000031,10,842.332,8423.32,1.6666666666666667,3.3333333333333335,4,1,2,Frequent High-Value Customers,0
C000032,11,666.8845454545454,7335.73,1.5714285714285714,3.4444444444444446,2,2,2,Frequent High-Value Customers,0
C000033,3,871.5966666666667,2614.79,1.0,3.4196588952056444,3,0,1,Premium Basket Customers,0
C000034,9,1007.1500000000001,9064.35,1.2857142857142858,3.4,4,2,1,Premium Basket Customers,0
C000035,12,750.2283333333334,9002.74,1.7142857142857142,3.5,3,3,2,Frequent High-Value Customers,0
C000036,11,1012.6854545454545,11139.539999999999,1.375,3.25,8,0,2,Frequent High-Value Customers,0
C000037,10,772.371,7723.71,1.0,3.4285714285714284,6,1,0,Budget Occasional Customers,0
C000038,9,1000.0233333333332,9000.21,1.2857142857142858,3.0,1,1,1,Premium Basket Customers,0
C000039,11,703.9645454545454,7743.61,1.1,3.2857142857142856,5,2,2,Frequent High-Value Customers,0
C000040,6,719.3416666666667,4316.05,1.0,3.6,3,1,0,Budget Occasional Customers,0
C000041,8,771.73375,6173.87,1.1428571428571428,3.5,4,2,0,Budget Occasional Customers,0
C000042,9,1141.5311111111112,10273.78,1.2857142857142858,3.25,3,0,1,Premium Basket Customers,0
C000043,14,795.1707142857142,11132.39,1.4,3.142857142857143,4,2,2,Frequent High-Value Customers,0
C000044,10,829.153,8291.53,1.25,3.25,3,2,2,Frequent High-Value Customers,0
C000045,13,799.5430769230769,10394.06,1.4444444444444444,3.5,5,2,2,Frequent High-Value Customers,0
C000046,14,849.342857142857,11890.8,1.1666666666666667,3.888888888888889,2,5,2,Frequent High-Value Customers,0
C000047,8,712.90625,5703.25,1.1428571428571428,3.3333333333333335,4,6,2,Frequent High-Value Customers,0
C000048,7,1105.0385714285715,7735.27,1.1666666666666667,3.8333333333333335,4,1,1,Premium Basket Customers,0
C000049,5,867.0780000000001,4335.39,1.25,2.6666666666666665,2,0,1,Premium Basket Customers,0
C000050,8,834.76875,6678.15,1.1428571428571428,3.75,3,3,0,Budget Occasional Customers,0
C000051,8,941.1875,7529.5,1.0,2.857142857142857,3,2,1,Premium Basket Customers,0
C000052,15,1039.18,15587.7,1.5,3.0,2,5,2,Frequent High-Value Customers,0
