customer_id,age,gender,city,signup_date,membership_type
C000001,56,Female,Chennai,2025-05-07,Premium
C000002,69,Male,Pune,2026-06-25,Gold
C000003,46,Female,Delhi,2025-07-17,Standard
C000004,32,Male,Chennai,2026-04-27,Gold
C000005,60,Female,Kochi,2025-06-28,Gold
C000006,25,Male,Ahmedabad,2026-06-07,Standard
C000007,38,Female,Pune,2026-03-13,Standard
C000008,56,Female,Kochi,2025-11-10,Standard
C000009,36,Female,Hyderabad,2025-01-19,Premium
C000010,40,Female,Jaipur,2025-06-09,Standard
C000011,28,Male,Mumbai,2025-05-02,Standard
C000012,28,Female,Hyderabad,2025-03-13,Gold
C000013,41,Female,Kolkata,2025-02-24,Gold
C000014,70,Male,Ahmedabad,2026-04-05,Premium
C000015,53,Female,Kolkata,2025-06-18,Standard
C000016,57,Male,Bangalore,2025-05-29,Gold
C000017,41,Male,Bangalore,2025-01-26,Standard
C000018,20,Male,Delhi,2025-09-05,Standard
C000019,39,Male,Ahmedabad,2025-08-15,Standard
C000020,70,Female,Kochi,2026-04-29,Gold
C000021,19,Male,Hyderabad,2025-01-10,Gold
C000022,41,Male,Ahmedabad,2025-04-05,Standard
C000023,61,Male,Hyderabad,2025-05-01,Standard
C000024,47,Female,Mumbai,2025-05-06,Gold
C000025,55,Female,Kochi,2025-03-10,Standard
C000026,19,Male,Kolkata,2025-10-24,Standard
C000027,38,Male,Hyderabad,2026-05-16,Standard
C000028,50,Male,Mumbai,2025-02-14,Standard
C000029,29,Female,Ahmedabad,2026-01-17,Standard
C000030,39,Female,Mumbai,2025-01-27,Gold
C000031,61,Male,Jaipur,2026-05-12,Standard
C000032,42,Male,Mumbai,2025-05-16,Gold
C000033,66,Female,Mumbai,2025-02-18,Standard
C000034,44,Female,Delhi,2026-05-22,Standard
C000035,59,Male,Bangalore,2025-05-01,Gold
C000036,45,Male,Kolkata,2025-08-05,Standard
C000037,33,Male,Jaipur,2026-06-10,Gold
C000038,32,Female,Jaipur,2025-02-12,Gold
C000039,64,Female,Bangalore,2025-04-06,Premium
C000040,68,Female,Pune,2025-01-27,Premium
C000041,61,Female,Hyderabad,2025-08-30,Standard
C000042,69,Male,Mumbai,2026-05-02,Standard
C000043,20,Female,Ahmedabad,2025-08-28,Standard
C000044,54,Female,Mumbai,2025-10-31,Gold
C000045,68,Male,Ahmedabad,2025-03-08,Standard
C000046,24,Female,Mumbai,2025-10-08,Gold
C000047,38,Male,Jaipur,2025-07-11,Standard
C000048,26,Male,Pune,2025-04-29,Standard
C000049,56,Female,Bangalore,2025-06-01,Standard
C000050,35,Female,Kochi,2026-01-27,Standard
C000051,21,Female,Chennai,2025-08-19,Standard
C000052,42,Male,Kolkata,2025-12-17,Standard
C000053,31,Female,Kochi,2026-06-13,Standard
C000054,67,Female,Kolkata,2025-06-20,Standard
C000055,26,Male,Hyderabad,2025-05-12,Standard
C000056,43,Other,Bangalore,2025-12-23,Standard
C000057,70,Female,Ahmedabad,2025-02-11,Gold
C000058,19,Male,Kochi,2025-11-01,Gold
C000059,37,Female,Kochi,2025-01-06,Standard
C000060,45,Male,Kolkata,2025-11-25,Standard
C000061,64,Male,Kochi,2025-06-19,Standard
C000062,24,Male,Ahmedabad,2025-12-04,Premium
C000063,61,Other,Bangalore,2025-03-10,Standard
C000064,25,Male,Hyderabad,2026-06-23,Gold
C000065,64,Female,Chennai,2026-05-22,Standard
