driver_id,driver_age,driver_rating,vehicle_type,city,experience_years
D00001,31,3.71,Scooter,Kochi,13.0
D00002,46,3.83,Bike,Pune,0.6
D00003,30,3.9,Bike,Chennai,7.4
D00004,32,4.14,Bike,Kolkata,8.8
D00005,25,4.12,Scooter,Hyderabad,2.9
D00006,50,3.87,Scooter,Bangalore,3.8
D00007,28,3.78,Bike,Kolkata,11.8
D00008,32,4.07,Scooter,Delhi,8.5
D00009,38,4.2,Scooter,Kolkata,4.7
D00010,53,4.76,Bike,Bangalore,11.5
D00011,23,3.8,Bike,Delhi,11.2
D00012,42,4.14,Bike,Chennai,5.2
D00013,18,3.38,Scooter,Bangalore,7.3
D00014,59,4.64,Bike,Pune,10.0
D00015,50,4.14,Scooter,Delhi,5.1
D00016,56,4.51,Bike,Mumbai,9.4
D00017,49,4.68,Scooter,Bangalore,3.8
D00018,19,4.38,Bike,Delhi,4.4
D00019,42,4.25,Car,Kolkata,4.7
D00020,57,3.43,Bike,Bangalore,14.0
D00021,50,4.13,Bike,Mumbai,12.5
D00022,55,3.8,Bike,Pune,8.5
D00023,28,3.75,Car,Ahmedabad,8.5
D00024,36,3.43,Scooter,Kolkata,0.8
D00025,42,4.11,Bike,Kolkata,9.7
D00026,45,3.85,Scooter,Ahmedabad,4.9
D00027,27,3.88,Scooter,Kolkata,9.2
D00028,48,3.79,Bike,Mumbai,12.6
D00029,33,4.72,Bike,Pune,0.7
D00030,59,3.76,Bike,Chennai,9.1
D00031,35,4.03,Scooter,Ahmedabad,8.5
D00032,39,4.12,Bike,Hyderabad,3.1
D00033,52,4.1,Bike,Mumbai,9.7
D00034,29,4.89,Bike,Chennai,8.3
D00035,59,3.39,Car,Jaipur,11.5
D00036,45,4.29,Bike,Chennai,1.7
D00037,26,4.55,Bike,Pune,6.7
D00038,47,4.3,Scooter,Hyderabad,15.0
D00039,35,5.0,Scooter,Pune,10.3
D00040,41,4.73,Scooter,Mumbai,10.3
D00041,36,3.92,Scooter,Ahmedabad,4.8
D00042,31,4.11,Bike,Hyderabad,1.4
D00043,19,4.5,Bike,Ahmedabad,14.2
D00044,28,4.15,Scooter,Hyderabad,1.6
D00045,43,4.16,Car,Delhi,14.9
D00046,25,5.0,Bike,Chennai,1.9
D00047,20,4.6,Bike,Pune,2.6
D00048,32,5.0,Bike,Kolkata,4.6
D00049,57,4.16,Scooter,Ahmedabad,7.7
D00050,30,4.26,Bike,Mumbai,11.9
D00051,33,4.33,Scooter,Jaipur,14.6
D00052,39,4.48,Bike,Chennai,5.4
D00053,50,4.07,Bike,Ahmedabad,0.3
D00054,19,3.83,Scooter,Pune,9.3
D00055,46,3.87,Scooter,Mumbai,10.7
D00056,51,4.15,Scooter,Chennai,6.0
D00057,33,3.54,Bike,Mumbai,2.8
D00058,31,4.35,Bike,Hyderabad,4.6
D00059,56,3.29,Bike,Mumbai,9.8
D00060,22,3.58,Scooter,Mumbai,7.4
D00061,60,4.68,Scooter,Kolkata,11.2
D00062,35,4.23,Bike,Bangalore,3.3
