restaurant_id,restaurant_name,city,cuisine,restaurant_rating,avg_prep_time,price_range
R00001,"Choudhury, Bakshi and Maharaj",Pune,Desserts,4.35,35,Low
R00002,Kapoor and Sons,Bangalore,Healthy,4.08,36,Low
R00003,"Chaudry, Chahal and Sami",Ahmedabad,Biryani,3.92,43,Medium
R00004,Balan Inc,Jaipur,Fast Food,3.7,32,Low
R00005,Kaul PLC,Jaipur,South Indian,3.41,25,High
R00006,"Bala, Issac and Saini",Mumbai,North Indian,3.35,23,Low
R00007,Sen PLC,Mumbai,Fast Food,3.25,59,Low
R00008,Ahuja-Dutta,Kolkata,Mexican,4.32,50,Medium
R00009,"Sami, Oak and Mall",Kolkata,Mexican,3.71,23,Medium
R00010,Kale LLC,Pune,South Indian,4.2,54,Medium
R00011,Chanda Group,Kolkata,Chinese,3.64,35,Medium
R00012,Parmer LLC,Bangalore,Desserts,3.96,55,High
R00013,"Lalla, Bassi and Sharaf",Jaipur,Fast Food,3.83,60,Medium
R00014,"Dash, Radhakrishnan and Brar",Pune,Chinese,4.79,58,Medium
R00015,"Memon, Pathak and Handa",Ahmedabad,Indian,3.76,36,Medium
R00016,"Boase, Bath and Kari",Delhi,Healthy,4.42,49,Low
R00017,Buch-Kaul,Kolkata,Mexican,3.3,13,High
R00018,Rai LLC,Hyderabad,Mexican,4.68,18,Medium
R00019,Patla-Gaba,Kochi,Chinese,4.41,36,High
R00020,Pant-Kadakia,Bangalore,Biryani,3.71,52,Low
R00021,"Loke, Bora and Garg",Kolkata,Italian,3.7,48,High
R00022,"Konda, Gade and Shere",Delhi,Italian,4.6,24,Medium
R00023,Madan-Kanda,Bangalore,Healthy,4.47,34,Medium
R00024,"Nair, Bhalla and Karnik",Jaipur,Italian,3.88,27,Medium
R00025,Mutti Group,Jaipur,Mexican,3.57,39,High
R00026,Bhatti-Kakar,Pune,Biryani,4.54,46,Medium
R00027,"Murty, Kala and Tata",Jaipur,Mexican,3.76,25,Medium
R00028,Shanker-Dhar,Kolkata,Desserts,4.17,21,Medium
R00029,Dewan-Koshy,Ahmedabad,Mexican,3.72,26,Low
R00030,"Yohannan, Lall and Sangha",Chennai,North Indian,3.89,34,Low
R00031,"Rastogi, Pathak and Kanda",Chennai,Healthy,4.95,24,Medium
R00032,Upadhyay Group,Mumbai,Biryani,3.96,34,Low
R00033,Batta Inc,Bangalore,Healthy,4.72,30,Medium
R00034,Dutta Ltd,Ahmedabad,Desserts,3.24,28,Medium
R00035,Bhatt-Rajan,Delhi,Desserts,3.13,33,Medium
R00036,Sidhu-Wadhwa,Kolkata,Fast Food,4.29,16,Low
R00037,Apte-Contractor,Chennai,South Indian,3.62,21,Medium
R00038,"Yadav, Loke and Oak",Delhi,South Indian,3.99,58,Medium
R00039,Memon Group,Jaipur,Chinese,2.94,48,Medium
R00040,Setty Inc,Jaipur,North Indian,2.98,20,Medium
R00041,"Lall, Tella and Gokhale",Chennai,Desserts,4.01,42,Low
R00042,"Cherian, Misra and Tripathi",Chennai,Desserts,3.76,58,Medium
R00043,"Issac, Dua and Prakash",Delhi,Chinese,3.83,34,Medium
R00044,Zacharia PLC,Hyderabad,Desserts,4.83,48,Low
R00045,Naik Group,Bangalore,North Indian,4.24,43,Medium
R00046,Choudhury LLC,Bangalore,Biryani,5.0,20,High
R00047,Khatri-Bhardwaj,Delhi,Biryani,4.04,25,Low
R00048,Brar Inc,Hyderabad,South Indian,4.75,41,Medium
R00049,"Sunder, Biswas and Walia",Jaipur,Fast Food,4.49,24,High
R00050,Dave Ltd,Hyderabad,Chinese,3.75,49,High
R00051,Gandhi-Lanka,Hyderabad,Italian,3.91,24,Low
R00052,"Sampath, Kakar and Zacharia",Hyderabad,Healthy,3.82,16,Medium
R00053,"Iyer, Muni and Rastogi",Bangalore,North Indian,4.54,46,High
R00054,"Prakash, Sarma and Varughese",Hyderabad,Italian,4.14,49,Low
R00055,Dara-Kota,Delhi,Indian,3.54,11,Medium
R00056,Bhatt LLC,Ahmedabad,South Indian,3.36,15,Medium
R00057,Karpe PLC,Kolkata,North Indian,3.37,45,Medium
R00058,Amble Inc,Mumbai,Desserts,3.55,48,Low
R00059,"Bhargava, Karnik and Bir",Mumbai,Indian,3.53,47,High
R00060,Narayanan Inc,Mumbai,Desserts,3.4,37,Low
R00061,"Khanna, Mallick and Sunder",Ahmedabad,Healthy,4.56,31,Medium
R00062,Zacharia and Sons,Ahmedabad,North Indian,3.23,46,Medium
R00063,"Solanki, Kibe and Solanki",Chennai,Fast Food,4.2,14,Low
R00064,Gupta-Chandra,Kolkata,Italian,5.0,27,Low
R00065,Sankar LLC,Delhi,Biryani,4.04,20,High
R00066,Roy-Sibal,Chennai,Italian,4.05,17,Medium
R00067,"Bhagat, Chaudhari and Bhat",Hyderabad,North Indian,4.11,29,Medium
R00068,Nori-Chopra,Kolkata,Chinese,3.26,20,Medium
R00069,Handa and Sons,Pune,South Indian,4.22,36,Low
R00070,"Sen, Dey and Sami",Pune,Healthy,4.17,38,Medium
R00071,Mallick Group,Kolkata,Chinese,3.98,34,Low
R00072,Borra Group,Pune,Desserts,3.16,60,Medium
R00073,"Chaudhari, Bedi and Zachariah",Chennai,South Indian,4.95,28,Low
R00074,Chander and Sons,Ahmedabad,Biryani,4.12,11,Medium
R00075,Ray Group,Kolkata,South Indian,3.39,51,Medium
R00076,Kala-Rattan,Pune,South Indian,3.5,48,Medium
R00077,Gala Group,Delhi,South Indian,3.61,53,Medium
R00078,Ramakrishnan LLC,Pune,Healthy,4.79,11,Low
R00079,Mangal-Sampath,Hyderabad,South Indian,3.94,16,High
R00080,"Sur, Dubey and Gupta",Chennai,Desserts,3.94,60,Low
R00081,Kalla-Bhardwaj,Jaipur,North Indian,3.74,40,Medium
R00082,"Bhat, Murthy and Bhandari",Bangalore,Indian,4.51,42,Low
